File,Size,BlockSize,CompressionRatio,Time,Memory
grammar.lsp,3721,102400,2.3097,0.03,1792
grammar.lsp,3721,250000,2.3097,0.08,1536
grammar.lsp,3721,500000,2.3097,0.08,1792
grammar.lsp,3721,750000,2.3097,0.07,1792
grammar.lsp,3721,921600,2.3097,0.07,1792
xargs.1,4227,102400,2.0264,0.03,1792
xargs.1,4227,250000,2.0264,0.03,1792
xargs.1,4227,500000,2.0264,0.03,1792
xargs.1,4227,750000,2.0264,0.03,1792
xargs.1,4227,921600,2.0264,0.06,1792
fields.c,11150,102400,3.0666,0.08,2048
fields.c,11150,250000,3.0666,0.09,2048
fields.c,11150,500000,3.0666,0.14,1920
fields.c,11150,750000,3.0666,0.09,2048
fields.c,11150,921600,3.0666,0.09,2048
cp.html,24603,102400,2.8394,0.26,2924
cp.html,24603,250000,2.8394,0.22,2896
cp.html,24603,500000,2.8394,0.14,2928
cp.html,24603,750000,2.8394,0.13,2924
cp.html,24603,921600,2.8394,0.17,2920
sum,38240,102400,2.6480,0.21,3212
sum,38240,250000,2.6480,0.31,3284
sum,38240,500000,2.6480,0.29,3296
sum,38240,750000,2.6480,0.23,3296
sum,38240,921600,2.6480,0.21,3300
asyoulik.txt,125179,102400,2.6629,1.14,7648
asyoulik.txt,125179,250000,2.7832,1.27,8976
asyoulik.txt,125179,500000,2.7832,1.20,8976
asyoulik.txt,125179,750000,2.7832,1.27,8980
asyoulik.txt,125179,921600,2.7832,1.23,8776
alice29.txt,152089,102400,2.9256,1.10,7464
alice29.txt,152089,250000,3.1036,2.00,10384
alice29.txt,152089,500000,3.1036,1.82,10388
alice29.txt,152089,750000,3.1036,1.77,10388
alice29.txt,152089,921600,3.1036,1.66,10388
lcet10.txt,426754,102400,3.0176,3.95,8872
lcet10.txt,426754,250000,3.2498,6.05,16216
lcet10.txt,426754,500000,3.4699,11.40,26344
lcet10.txt,426754,750000,3.4699,8.35,26348
lcet10.txt,426754,921600,3.4699,8.65,26348
plrabn12.txt,481861,102400,2.5924,4.42,9256
plrabn12.txt,481861,250000,2.7621,9.92,18176
plrabn12.txt,481861,500000,2.8901,10.99,30660
plrabn12.txt,481861,750000,2.8901,11.05,30660
plrabn12.txt,481861,921600,2.8901,10.25,30660
ptt5,513216,102400,9.3874,0.49,3784
ptt5,513216,250000,9.4773,0.60,4752
ptt5,513216,500000,9.5024,0.70,6556
ptt5,513216,750000,9.5516,0.56,6648
ptt5,513216,921600,9.5516,0.67,6652
kennedy.xls,1029744,102400,5.8256,6.73,8944
kennedy.xls,1029744,250000,5.7114,9.13,18084
kennedy.xls,1029744,500000,5.6807,10.61,33544
kennedy.xls,1029744,750000,5.6969,11.87,41000
kennedy.xls,1029744,921600,5.4126,12.32,49724
